check_type,table,result,status
row_count,customers,99441,PASS
row_count,orders,99441,PASS
row_count,products,32951,PASS
row_count,reviews,99224,PASS
row_count,sellers,3095,PASS
row_count,payments,103886,PASS
row_count,order_items,112650,PASS
row_count,geolocation,738332,PASS
duplicates,customers,0,PASS
duplicates,orders,0,PASS
duplicates,products,0,PASS
duplicates,reviews,814,FAIL
duplicates,sellers,0,PASS
missing_values,orders.customer_id,0,PASS
missing_values,orders.order_purchase_timestamp,0,PASS
missing_values,reviews.review_score,0,PASS
missing_values,products.product_category_name,0,PASS
